name,email,phone,workshop,createdAt
Lead 001,lead001@example.com,9000000001,AI/ML Masterclass,2026-05-01
Lead 002,lead002@example.com,9000000002,Data Analytics Bootcamp,2026-05-02
Lead 003,lead003@example.com,9000000003,Python for Data Science,2026-05-03
Lead 004,lead004@example.com,9000000004,Generative AI Workshop,2026-05-04
Lead 005,lead005@example.com,9000000005,Power BI Essentials,2026-05-05
Lead 006,lead006@example.com,9000000006,AI/ML Masterclass,2026-05-06
Lead 007,lead007@example.com,9000000007,Data Analytics Bootcamp,2026-05-07
Lead 008,lead008@example.com,9000000008,Python for Data Science,2026-05-08
Lead 009,lead009@example.com,9000000009,Generative AI Workshop,2026-05-09
Lead 010,lead010@example.com,9000000010,Power BI Essentials,2026-05-10
Lead 011,lead011@example.com,9000000011,AI/ML Masterclass,2026-05-11
Lead 012,lead012@example.com,9000000012,Data Analytics Bootcamp,2026-05-12
Lead 013,lead013@example.com,9000000013,Python for Data Science,2026-05-13
Lead 014,lead014@example.com,9000000014,Generative AI Workshop,2026-05-14
Lead 015,lead015@example.com,9000000015,Power BI Essentials,2026-05-15
Lead 016,lead016@example.com,9000000016,AI/ML Masterclass,2026-05-16
Lead 017,lead017@example.com,9000000017,Data Analytics Bootcamp,2026-05-17
Lead 018,lead018@example.com,9000000018,Python for Data Science,2026-05-18
Lead 019,lead019@example.com,9000000019,Generative AI Workshop,2026-05-19
Lead 020,lead020@example.com,9000000020,Power BI Essentials,2026-05-20
Lead 021,lead021@example.com,9000000021,AI/ML Masterclass,2026-05-01
Lead 022,lead022@example.com,9000000022,Data Analytics Bootcamp,2026-05-02
Lead 023,lead023@example.com,9000000023,Python for Data Science,2026-05-03
Lead 024,lead024@example.com,9000000024,Generative AI Workshop,2026-05-04
Lead 025,lead025@example.com,9000000025,Power BI Essentials,2026-05-05
Lead 026,lead026@example.com,9000000026,AI/ML Masterclass,2026-05-06
Lead 027,lead027@example.com,9000000027,Data Analytics Bootcamp,2026-05-07
Lead 028,lead028@example.com,9000000028,Python for Data Science,2026-05-08
Lead 029,lead029@example.com,9000000029,Generative AI Workshop,2026-05-09
Lead 030,lead030@example.com,9000000030,Power BI Essentials,2026-05-10
Lead 031,lead031@example.com,9000000031,AI/ML Masterclass,2026-05-11
Lead 032,lead032@example.com,9000000032,Data Analytics Bootcamp,2026-05-12
Lead 033,lead033@example.com,9000000033,Python for Data Science,2026-05-13
Lead 034,lead034@example.com,9000000034,Generative AI Workshop,2026-05-14
Lead 035,lead035@example.com,9000000035,Power BI Essentials,2026-05-15
Lead 036,lead036@example.com,9000000036,AI/ML Masterclass,2026-05-16
Lead 037,lead037@example.com,9000000037,Data Analytics Bootcamp,2026-05-17
Lead 038,lead038@example.com,9000000038,Python for Data Science,2026-05-18
Lead 039,lead039@example.com,9000000039,Generative AI Workshop,2026-05-19
Lead 040,lead040@example.com,9000000040,Power BI Essentials,2026-05-20
Lead 041,lead041@example.com,9000000041,AI/ML Masterclass,2026-05-01
Lead 042,lead042@example.com,9000000042,Data Analytics Bootcamp,2026-05-02
Lead 043,lead043@example.com,9000000043,Python for Data Science,2026-05-03
Lead 044,lead044@example.com,9000000044,Generative AI Workshop,2026-05-04
Lead 045,lead045@example.com,9000000045,Power BI Essentials,2026-05-05
Lead 046,lead046@example.com,9000000046,AI/ML Masterclass,2026-05-06
Lead 047,lead047@example.com,9000000047,Data Analytics Bootcamp,2026-05-07
Lead 048,lead048@example.com,9000000048,Python for Data Science,2026-05-08
Lead 049,lead049@example.com,9000000049,Generative AI Workshop,2026-05-09
Lead 050,lead050@example.com,9000000050,Power BI Essentials,2026-05-10
Lead 051,lead051@example.com,9000000051,AI/ML Masterclass,2026-05-11
Lead 052,lead052@example.com,9000000052,Data Analytics Bootcamp,2026-05-12
Lead 053,lead053@example.com,9000000053,Python for Data Science,2026-05-13
